FunctionAn,Category,Function,Gene.abbreviation,Corresponding.KO
Function1580,Biosynthesis of other antibiotics,M00785+01,"Cycloserine biosynthesis, arginine/serine => cycloserine",K19741
Function1581,Biosynthesis of other antibiotics,M00785+02,"Cycloserine biosynthesis, arginine/serine => cycloserine",K19723
Function1582,Biosynthesis of other fungal compounds,M00786+01,"Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A",K18281
Function1583,Biosynthesis of other fungal compounds,M00786+02,"Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A",K14132
Function1584,Biosynthesis of other fungal compounds,M00786+03,"Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A",K17475
Function1585,Biosynthesis of other fungal compounds,M00786+04,"Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A",K18280
Function1586,Biosynthesis of other fungal compounds,M00786+05,"Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A",K17827
Function1587,Biosynthesis of other fungal compounds,M00786+06,"Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A",K17826
Function1588,Biosynthesis of other fungal compounds,M00786+07,"Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A",K14134
Function1589,Biosynthesis of other fungal compounds,M00786+08,"Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A",K17825
Function1590,Biosynthesis of other fungal compounds,M00786+09,"Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A",K18279
Function1591,Biosynthesis of other antibiotics,M00787+01,"Bacilysin biosynthesis, prephenate => bacilysin",K19546
Function1592,Biosynthesis of other antibiotics,M00787+02,"Bacilysin biosynthesis, prephenate => bacilysin",K19547
Function1593,Biosynthesis of other antibiotics,M00787+03,"Bacilysin biosynthesis, prephenate => bacilysin",K19550
Function1594,Biosynthesis of other antibiotics,M00787+04,"Bacilysin biosynthesis, prephenate => bacilysin",K19549
Function1595,Biosynthesis of other antibiotics,M00787+05,"Bacilysin biosynthesis, prephenate => bacilysin",K19548
Function1596,Biosynthesis of other antibiotics,M00787+06,"Bacilysin biosynthesis, prephenate => bacilysin",K13037
Function1597,Biosynthesis of other antibiotics,M00788+01,"Terpentecin biosynthesis, GGAP => terpentecin",K19835
Function1598,Biosynthesis of other antibiotics,M00788+02,"Terpentecin biosynthesis, GGAP => terpentecin",K19834
Function1599,Biosynthesis of other bacterial compounds,M00789+01,"Rebeccamycin biosynthesis, tryptophan => rebeccamycin",K14266
Function1600,Biosynthesis of other bacterial compounds,M00789+02,"Rebeccamycin biosynthesis, tryptophan => rebeccamycin",K19884
Function1601,Biosynthesis of other bacterial compounds,M00789+03,"Rebeccamycin biosynthesis, tryptophan => rebeccamycin",K19885
Function1602,Biosynthesis of other bacterial compounds,M00789+04,"Rebeccamycin biosynthesis, tryptophan => rebeccamycin",K19886 and K19887
Function1603,Biosynthesis of other bacterial compounds,M00789+05,"Rebeccamycin biosynthesis, tryptophan => rebeccamycin",K19888
Function1604,Biosynthesis of other bacterial compounds,M00789+06,"Rebeccamycin biosynthesis, tryptophan => rebeccamycin",K19889
Function1605,Biosynthesis of other bacterial compounds,M00790+01,"Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin",K14266
Function1606,Biosynthesis of other bacterial compounds,M00790+02,"Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin",K19981
Function1607,Biosynthesis of other bacterial compounds,M00790+03,"Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin",K14257
Function1608,Biosynthesis of other bacterial compounds,M00790+04,"Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin",K19982
Function1609,Polyketide sugar unit biosynthesis,M00793+01,dTDP-L-rhamnose biosynthesis,K00973
Function1610,Polyketide sugar unit biosynthesis,M00793+02,dTDP-L-rhamnose biosynthesis,K01710
Function1611,Polyketide sugar unit biosynthesis,M00793+03,dTDP-L-rhamnose biosynthesis,(K01790 and K00067 or K23987)
Function1612,Polyketide sugar unit biosynthesis,M00794+01,dTDP-6-deoxy-D-allose biosynthesis,K13312
Function1613,Polyketide sugar unit biosynthesis,M00794+02,dTDP-6-deoxy-D-allose biosynthesis,K13313
Function1614,Polyketide sugar unit biosynthesis,M00795+01,dTDP-beta-L-noviose biosynthesis,K19855
Function1615,Polyketide sugar unit biosynthesis,M00795+02,dTDP-beta-L-noviose biosynthesis,K12710
Function1616,Polyketide sugar unit biosynthesis,M00795+03,dTDP-beta-L-noviose biosynthesis,K17625
Function1617,Polyketide sugar unit biosynthesis,M00796+01,dTDP-D-mycaminose biosynthesis,K19853
Function1618,Polyketide sugar unit biosynthesis,M00796+02,dTDP-D-mycaminose biosynthesis,K19854
Function1619,Polyketide sugar unit biosynthesis,M00796+03,dTDP-D-mycaminose biosynthesis,K13307
Function1620,Polyketide sugar unit biosynthesis,M00797+01,dTDP-D-desosamine biosynthesis,K13308
Function1621,Polyketide sugar unit biosynthesis,M00797+02,dTDP-D-desosamine biosynthesis,K13309
Function1622,Polyketide sugar unit biosynthesis,M00797+03,dTDP-D-desosamine biosynthesis,(K13310 or K16436)
Function1623,Polyketide sugar unit biosynthesis,M00797+04,dTDP-D-desosamine biosynthesis,(K13311 or K13326)
Function1624,Polyketide sugar unit biosynthesis,M00798+01,dTDP-L-mycarose biosynthesis,K16435
Function1625,Polyketide sugar unit biosynthesis,M00798+02,dTDP-L-mycarose biosynthesis,K13315
Function1626,Polyketide sugar unit biosynthesis,M00798+03,dTDP-L-mycarose biosynthesis,K13317
Function1627,Polyketide sugar unit biosynthesis,M00798+04,dTDP-L-mycarose biosynthesis,(K13316 or K16438)
Function1628,Polyketide sugar unit biosynthesis,M00798+05,dTDP-L-mycarose biosynthesis,K13318
Function1629,Polyketide sugar unit biosynthesis,M00799+01,dTDP-L-oleandrose biosynthesis,K16435
Function1630,Polyketide sugar unit biosynthesis,M00799+02,dTDP-L-oleandrose biosynthesis,K13315
Function1631,Polyketide sugar unit biosynthesis,M00799+03,dTDP-L-oleandrose biosynthesis,K16438
Function1632,Polyketide sugar unit biosynthesis,M00799+04,dTDP-L-oleandrose biosynthesis,K19856
Function1633,Polyketide sugar unit biosynthesis,M00799+05,dTDP-L-oleandrose biosynthesis,K19857
Function1634,Polyketide sugar unit biosynthesis,M00800+01,dTDP-L-megosamine biosynthesis,K16435
Function1635,Polyketide sugar unit biosynthesis,M00800+02,dTDP-L-megosamine biosynthesis,K16436
Function1636,Polyketide sugar unit biosynthesis,M00800+03,dTDP-L-megosamine biosynthesis,K13326
Function1637,Polyketide sugar unit biosynthesis,M00800+04,dTDP-L-megosamine biosynthesis,K16438
Function1638,Polyketide sugar unit biosynthesis,M00800+05,dTDP-L-megosamine biosynthesis,K13322
Function1639,Polyketide sugar unit biosynthesis,M00801+01,dTDP-L-olivose biosynthesis,K16435
Function1640,Polyketide sugar unit biosynthesis,M00801+02,dTDP-L-olivose biosynthesis,K13327
Function1641,Polyketide sugar unit biosynthesis,M00801+03,dTDP-L-olivose biosynthesis,K19858
Function1642,Polyketide sugar unit biosynthesis,M00801+04,dTDP-L-olivose biosynthesis,K13319
Function1643,Polyketide sugar unit biosynthesis,M00802+01,dTDP-D-forosamine biosynthesis,K16435
Function1644,Polyketide sugar unit biosynthesis,M00802+02,dTDP-D-forosamine biosynthesis,K13327
Function1645,Polyketide sugar unit biosynthesis,M00802+03,dTDP-D-forosamine biosynthesis,K13328
Function1646,Polyketide sugar unit biosynthesis,M00802+04,dTDP-D-forosamine biosynthesis,K13329
Function1647,Polyketide sugar unit biosynthesis,M00802+05,dTDP-D-forosamine biosynthesis,K13330
Function1648,Polyketide sugar unit biosynthesis,M00803+01,dTDP-D-angolosamine biosynthesis,K16435
Function1649,Polyketide sugar unit biosynthesis,M00803+02,dTDP-D-angolosamine biosynthesis,K19859
Function1650,Polyketide sugar unit biosynthesis,M00803+03,dTDP-D-angolosamine biosynthesis,K16436
Function1651,Polyketide sugar unit biosynthesis,M00803+04,dTDP-D-angolosamine biosynthesis,K13332
Function1652,Nitrogen metabolism,M00804+01,"Complete nitrification, comammox, ammonia => nitrite => nitrate",K10944 and K10945 and K10946
Function1653,Nitrogen metabolism,M00804+02,"Complete nitrification, comammox, ammonia => nitrite => nitrate",K10535
Function1654,Nitrogen metabolism,M00804+03,"Complete nitrification, comammox, ammonia => nitrite => nitrate",K00370 and K00371
Function1655,Biosynthesis of other bacterial compounds,M00805+01,"Staurosporine biosynthesis, tryptophan => staurosporine",K20075
Function1656,Biosynthesis of other bacterial compounds,M00805+02,"Staurosporine biosynthesis, tryptophan => staurosporine",K20076
Function1657,Biosynthesis of other bacterial compounds,M00805+03,"Staurosporine biosynthesis, tryptophan => staurosporine",K20077 and K20078
Function1658,Biosynthesis of other bacterial compounds,M00805+04,"Staurosporine biosynthesis, tryptophan => staurosporine",K20079
Function1659,Biosynthesis of other bacterial compounds,M00805+05,"Staurosporine biosynthesis, tryptophan => staurosporine",K20080
Function1660,Biosynthesis of other bacterial compounds,M00805+06,"Staurosporine biosynthesis, tryptophan => staurosporine",K20081
Function1661,Biosynthesis of other bacterial compounds,M00805+07,"Staurosporine biosynthesis, tryptophan => staurosporine",K20082
Function1662,Biosynthesis of other bacterial compounds,M00808+01,"Violacein biosynthesis, tryptophan => violacein",K20086
Function1663,Biosynthesis of other bacterial compounds,M00808+02,"Violacein biosynthesis, tryptophan => violacein",K20087 and K20088
Function1664,Biosynthesis of other bacterial compounds,M00808+03,"Violacein biosynthesis, tryptophan => violacein",K20089
Function1665,Biosynthesis of other bacterial compounds,M00808+04,"Violacein biosynthesis, tryptophan => violacein",K20090
Function1666,Cofactor and vitamin metabolism,M00810+01,"Nicotine degradation, pyridine pathway, nicotine => 2,6-dihydroxypyridine/succinate semialdehyde",K19818 and K19819 and K19820
Function1667,Cofactor and vitamin metabolism,M00810+02,"Nicotine degradation, pyridine pathway, nicotine => 2,6-dihydroxypyridine/succinate semialdehyde",(K19826 or K19890)
Function1668,Cofactor and vitamin metabolism,M00810+03,"Nicotine degradation, pyridine pathway, nicotine => 2,6-dihydroxypyridine/succinate semialdehyde",K19185 and K19186 and K19187
Function1669,Cofactor and vitamin metabolism,M00810+04,"Nicotine degradation, pyridine pathway, nicotine => 2,6-dihydroxypyridine/succinate semialdehyde",K19188
Function1670,Cofactor and vitamin metabolism,M00811+01,"Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde",K20169
Function1671,Cofactor and vitamin metabolism,M00811+02,"Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde",(K20170 or (K20158 and K19700))
Function1672,Cofactor and vitamin metabolism,M00811+03,"Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde",K20171
Function1673,Cofactor and vitamin metabolism,M00811+04,"Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde",K15359 or K18276
Function1674,Biosynthesis of other bacterial compounds,M00814+01,"Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose",K19969
Function1675,Biosynthesis of other bacterial compounds,M00814+02,"Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose",K19979
Function1676,Biosynthesis of other bacterial compounds,M00814+03,"Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose",K19974
Function1677,Biosynthesis of other bacterial compounds,M00814+04,"Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose",K20424
Function1678,Biosynthesis of other bacterial compounds,M00814+05,"Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose",K20425
Function1679,Biosynthesis of other bacterial compounds,M00814+06,"Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose",K20426
Function1680,Biosynthesis of other bacterial compounds,M00814+07,"Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose",K20427
Function1681,Biosynthesis of other bacterial compounds,M00814+08,"Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose",K20430
Function1682,Biosynthesis of other antibiotics,M00815+01,"Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A",K19969
Function1683,Biosynthesis of other antibiotics,M00815+02,"Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A",K20431
Function1684,Biosynthesis of other antibiotics,M00815+03,"Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A",K20432
Function1685,Biosynthesis of other antibiotics,M00815+04,"Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A",K20433
Function1686,Biosynthesis of other antibiotics,M00815+05,"Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A",K20434
Function1687,Biosynthesis of other antibiotics,M00815+06,"Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A",K20435
Function1688,Biosynthesis of other antibiotics,M00815+07,"Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A",K20436
Function1689,Biosynthesis of other antibiotics,M00815+08,"Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A",K20437
Function1690,Biosynthesis of other antibiotics,M00815+09,"Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A",K20438
Function1691,Biosynthesis of other antibiotics,M00819+01,"Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone",K12250
Function1692,Biosynthesis of other antibiotics,M00819+02,"Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone",K15907
Function1693,Biosynthesis of other antibiotics,M00819+03,"Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone",K18056
Function1694,Biosynthesis of other antibiotics,M00819+04,"Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone",K17747
Function1695,Biosynthesis of other antibiotics,M00819+05,"Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone",K18091
Function1696,Biosynthesis of other antibiotics,M00819+06,"Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone",K18057
Function1697,Biosynthesis of other antibiotics,M00819+07,"Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone",K17476
Function1698,Type II polyketide biosynthesis,M00823+01,"Chlortetracycline biosynthesis, pretetramide => chlortetracycline",K14251
Function1699,Type II polyketide biosynthesis,M00823+02,"Chlortetracycline biosynthesis, pretetramide => chlortetracycline",K14252
Function1700,Type II polyketide biosynthesis,M00823+03,"Chlortetracycline biosynthesis, pretetramide => chlortetracycline",K14253
Function1701,Type II polyketide biosynthesis,M00823+04,"Chlortetracycline biosynthesis, pretetramide => chlortetracycline",K14254
Function1702,Type II polyketide biosynthesis,M00823+05,"Chlortetracycline biosynthesis, pretetramide => chlortetracycline",K14255
Function1703,Type II polyketide biosynthesis,M00823+06,"Chlortetracycline biosynthesis, pretetramide => chlortetracycline",K14256
Function1704,Type II polyketide biosynthesis,M00823+07,"Chlortetracycline biosynthesis, pretetramide => chlortetracycline",K21301
Function1705,Type II polyketide biosynthesis,M00823+08,"Chlortetracycline biosynthesis, pretetramide => chlortetracycline",K14257 and K21297
Function1706,Enediyne biosynthesis,M00824+01,"9-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 9-membered enediyne core",K15314
Function1707,Enediyne biosynthesis,M00824+02,"9-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 9-membered enediyne core",K21160 and K21161 and K21162 and K21163 and K21164 and K21165 and K21166 and K21167
Function1708,Enediyne biosynthesis,M00825+01,"10-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 10-membered enediyne core",K15314
Function1709,Enediyne biosynthesis,M00825+02,"10-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 10-membered enediyne core",K21168 and K21169 and K21170 and K21171 and K21172 and K21173 and K21174
Function1710,Enediyne biosynthesis,M00826+01,"C-1027 benzoxazolinate moiety biosynthesis, chorismate => benzoxazolinyl-CoA",K20159 and K21175
Function1711,Enediyne biosynthesis,M00826+02,"C-1027 benzoxazolinate moiety biosynthesis, chorismate => benzoxazolinyl-CoA",K20156
Function1712,Enediyne biosynthesis,M00826+03,"C-1027 benzoxazolinate moiety biosynthesis, chorismate => benzoxazolinyl-CoA",K21176
